name, wins, losses, fcs_count, opponent_total_wins, opponent_total_losses, point_diff, opponents,,,,,,,,,,,,,,,,
UT San Antonio,8,2,1,45,46,100, ['Houston (6 - 4)', 'Army (3 - 6)', 'Texas (6 - 4)', 'Middle Tennessee (5 - 5)', 'Western Kentucky (7 - 4)', 'Florida International (4 - 6)', 'North Texas (6 - 5)', 'UAB (5 - 5)', 'Louisiana Tech (3 - 7)'],,,,,,,,
South Alabama,8,2,1,43,47,136, ['Central Michigan (4 - 6)', 'UCLA (8 - 2)', 'Louisiana Tech (3 - 7)', 'Louisiana (5 - 5)', 'Louisiana Monroe (4 - 6)', 'Troy (8 - 2)', 'Arkansas State (3 - 7)', 'Georgia Southern (5 - 5)', 'Texas State (3 - 7)'],,,,,,,,
Tulane,8,2,1,42,48,137, ['UMass (1 - 9)', 'Kansas State (7 - 3)', 'Southern Mississippi (5 - 5)', 'Houston (6 - 4)', 'East Carolina (6 - 4)', 'South Florida (1 - 9)', 'Memphis (5 - 5)', 'Tulsa (3 - 7)', 'UCF (8 - 2)'],,,,,,,,
Cincinnati,8,2,1,39,51,112, ['Arkansas (5 - 5)', 'Miami (OH) (4 - 6)', 'Indiana (3 - 7)', 'Tulsa (3 - 7)', 'South Florida (1 - 9)', 'SMU (6 - 4)', 'UCF (8 - 2)', 'Navy (3 - 7)', 'East Carolina (6 - 4)'],,,,,,,,
Liberty,8,2,1,37,54,76, ['Southern Mississippi (5 - 5)', 'UAB (5 - 5)', 'Wake Forest (6 - 4)', 'Akron (1 - 9)', 'Old Dominion (3 - 7)', 'UMass (1 - 9)', 'BYU (5 - 5)', 'Arkansas (5 - 5)', 'Connecticut (6 - 5)'],,,,,,,,
Notre Dame,7,3,0,57,42,74, ['Ohio State (10 - 0)', 'Marshall (5 - 4)', 'California (3 - 7)', 'North Carolina (9 - 1)', 'BYU (5 - 5)', 'Stanford (3 - 7)', 'UNLV (4 - 6)', 'Syracuse (6 - 4)', 'Clemson (9 - 1)', 'Navy (3 - 7)'],,,,,,,
Kansas State,7,3,1,55,35,131, ['Missouri (4 - 6)', 'Tulane (8 - 2)', 'Oklahoma (5 - 5)', 'Texas Tech (5 - 5)', 'Iowa State (4 - 6)', 'TCU (10 - 0)', 'Oklahoma State (7 - 3)', 'Texas (6 - 4)', 'Baylor (6 - 4)'],,,,,,,,
Florida State,7,3,1,54,36,159, ['LSU (8 - 2)', 'Louisville (6 - 4)', 'Boston College (3 - 7)', 'Wake Forest (6 - 4)', 'NC State (7 - 3)', 'Clemson (9 - 1)', 'Georgia Tech (4 - 6)', 'Miami (5 - 5)', 'Syracuse (6 - 4)'],,,,,,,,
Oregon State,7,3,1,51,39,104, ['Boise State (7 - 3)', 'Fresno State (6 - 4)', 'USC (9 - 1)', 'Utah (8 - 2)', 'Stanford (3 - 7)', 'Washington State (6 - 4)', 'Colorado (1 - 9)', 'Washington (8 - 2)', 'California (3 - 7)'],,,,,,,,
Oklahoma State,7,3,1,51,39,49, ['Central Michigan (4 - 6)', 'Arizona State (3 - 7)', 'Baylor (6 - 4)', 'Texas Tech (5 - 5)', 'TCU (10 - 0)', 'Texas (6 - 4)', 'Kansas State (7 - 3)', 'Kansas (6 - 4)', 'Iowa State (4 - 6)'],,,,,,,,
