name, wins, losses, fcs_count, opponent_total_wins, opponent_total_losses, point_diff, opponents,,,,,,,,,,,,,,,,
Utah State,5,5,1,43,49,-73, ['Connecticut (6 - 5)', 'Alabama (8 - 2)', 'UNLV (4 - 6)', 'BYU (5 - 5)', 'Air Force (7 - 3)', 'Colorado State (2 - 8)', 'Wyoming (7 - 3)', 'New Mexico (2 - 8)',"Hawai'i (2 - 9)""]
Middle Tennessee, 5, 5, 1, 42, 49, -20, ['James Madison (6 - 3)', 'Colorado State (2 - 8)', 'Miami (5 - 5)', 'UT San Antonio (8 - 2)', 'UAB (5 - 5)', 'Western Kentucky (7 - 4)', 'UTEP (4 - 6)', 'Louisiana Tech (3 - 7)', 'Charlotte (2 - 9)']
Bowling Green, 5, 5, 1, 40, 49, -96, ['UCLA (8 - 2)', 'Marshall (5 - 4)', 'Mississippi State (6 - 4)', 'Akron (1 - 9)', 'Buffalo (5 - 5)', 'Miami (OH) (4 - 6)', 'Central Michigan (4 - 6)', 'Western Michigan (3 - 7)', 'Kent State (4 - 6)']
Florida Atlantic, 4, 5, 0, 47, 45, 34, ['Charlotte (2 - 9)', 'Ohio (7 - 3)', 'UCF (8 - 2)', 'Purdue (6 - 4)', 'North Texas (6 - 5)', 'Rice (5 - 5)', 'UTEP (4 - 6)', 'UAB (5 - 5)', 'Florida International (4 - 6)']
Georgia State, 4, 6, 0, 51, 48, -7, ['South Carolina (6 - 4)', 'North Carolina (9 - 1)', 'Charlotte (2 - 9)', 'Coastal Carolina (9 - 1)', 'Army (3 - 6)', 'Georgia Southern (5 - 5)', 'Appalachian State (5 - 4)', 'Old Dominion (3 - 7)', 'Southern Mississippi (5 - 5)', 'Louisiana Monroe (4 - 6)']
UTEP, 4, 6, 0, 43, 58, -62, ['North Texas (6 - 5)', 'Oklahoma (5 - 5)', 'New Mexico State (4 - 6)', 'New Mexico (2 - 8)', 'Boise State (7 - 3)', 'Charlotte (2 - 9)', 'Louisiana Tech (3 - 7)', 'Florida Atlantic (4 - 5)', 'Middle Tennessee (5 - 5)', 'Rice (5 - 5)']
Auburn, 4, 6, 1, 59, 31, -59, ['San José State (7 - 3)', 'Penn State (8 - 2)', 'Missouri (4 - 6)', 'LSU (8 - 2)', 'Georgia (10 - 0)', 'Ole Miss (8 - 2)', 'Arkansas (5 - 5)', 'Mississippi State (6 - 4)', 'Texas A&M (3 - 7)']
Arizona, 4, 6, 1, 57, 33, -60, ['San Diego State (6 - 4)', 'Mississippi State (6 - 4)', 'California (3 - 7)', 'Colorado (1 - 9)', 'Oregon (8 - 2)', 'Washington (8 - 2)', 'USC (9 - 1)', 'Utah (8 - 2)', 'UCLA (8 - 2)']
Missouri, 4, 6, 1, 55, 35, -27, ['Louisiana Tech (3 - 7)', 'Kansas State (7 - 3)', 'Auburn (4 - 6)', 'Georgia (10 - 0)', 'Florida (6 - 4)', 'Vanderbilt (4 - 6)', 'South Carolina (6 - 4)', 'Kentucky (6 - 4)', 'Tennessee (9 - 1)']
Georgia Tech, 4, 6, 1, 55, 35, -116, ['Clemson (9 - 1)', 'Ole Miss (8 - 2)', 'UCF (8 - 2)', 'Pittsburgh (6 - 4)', 'Duke (7 - 3)', 'Virginia (3 - 7)', 'Florida State (7 - 3)', 'Virginia Tech (2 - 8)', 'Miami (5 - 5)']
Iowa State, 4, 6, 1, 54, 36, 51, ['Iowa (6 - 4)', 'Ohio (7 - 3)', 'Baylor (6 - 4)', 'Kansas (6 - 4)', 'Kansas State (7 - 3)', 'Texas (6 - 4)', 'Oklahoma (5 - 5)', 'West Virginia (4 - 6)', 'Oklahoma State (7 - 3)']
Vanderbilt, 4, 6, 1, 53, 38, -88, [""Hawai'i (2 - 9)", 'Wake Forest (6 - 4)', 'Northern Illinois (3 - 7)', 'Alabama (8 - 2)', 'Ole Miss (8 - 2)', 'Georgia (10 - 0)', 'Missouri (4 - 6)', 'South Carolina (6 - 4)', 'Kentucky (6 - 4)']
Kent State,4,6,1,52,38,-3, ['Washington (8 - 2)', 'Oklahoma (5 - 5)', 'Georgia (10 - 0)', 'Ohio (7 - 3)', 'Miami (OH) (4 - 6)', 'Toledo (7 - 3)', 'Akron (1 - 9)', 'Ball State (5 - 5)', 'Bowling Green (5 - 5)'],,,,,,,,
West Virginia,4,6,1,50,40,-16, ['Pittsburgh (6 - 4)', 'Kansas (6 - 4)', 'Virginia Tech (2 - 8)', 'Texas (6 - 4)', 'Baylor (6 - 4)', 'Texas Tech (5 - 5)', 'TCU (10 - 0)', 'Iowa State (4 - 6)', 'Oklahoma (5 - 5)'],,,,,,,,
Rutgers,4,6,1,50,40,-60, ['Boston College (3 - 7)', 'Temple (3 - 7)', 'Iowa (6 - 4)', 'Ohio State (10 - 0)', 'Nebraska (3 - 7)', 'Indiana (3 - 7)', 'Minnesota (7 - 3)', 'Michigan (10 - 0)', 'Michigan State (5 - 5)'],,,,,,,,
Louisiana Monroe,4,6,1,49,40,-117, ['Texas (6 - 4)', 'Alabama (8 - 2)', 'Louisiana (5 - 5)', 'Arkansas State (3 - 7)', 'Coastal Carolina (9 - 1)', 'South Alabama (8 - 2)', 'Army (3 - 6)', 'Texas State (3 - 7)', 'Georgia State (4 - 6)'],,,,,,,,
Central Michigan,4,6,1,49,41,-20, ['Oklahoma State (7 - 3)', 'South Alabama (8 - 2)', 'Penn State (8 - 2)', 'Toledo (7 - 3)', 'Ball State (5 - 5)', 'Akron (1 - 9)', 'Bowling Green (5 - 5)', 'Northern Illinois (3 - 7)', 'Buffalo (5 - 5)'],,,,,,,,
UNLV,4,6,1,49,42,-25, ['California (3 - 7)', 'North Texas (6 - 5)', 'Utah State (5 - 5)', 'New Mexico (2 - 8)', 'San José State (7 - 3)', 'Air Force (7 - 3)', 'Notre Dame (7 - 3)', 'San Diego State (6 - 4)', 'Fresno State (6 - 4)'],,,,,,,,
Florida International,4,6,1,43,50,-184, ['Texas State (3 - 7)', 'Western Kentucky (7 - 4)', 'New Mexico State (4 - 6)', 'Connecticut (6 - 5)', 'UT San Antonio (8 - 2)', 'Charlotte (2 - 9)', 'Louisiana Tech (3 - 7)', 'North Texas (6 - 5)', 'Florida Atlantic (4 - 5)'],,,,,,,,
Miami (OH),4,6,1,40,50,-34, ['Kentucky (6 - 4)', 'Cincinnati (8 - 2)', 'Northwestern (1 - 9)', 'Buffalo (5 - 5)', 'Kent State (4 - 6)', 'Bowling Green (5 - 5)', 'Western Michigan (3 - 7)', 'Akron (1 - 9)', 'Ohio (7 - 3)'],,,,,,,,
New Mexico State,4,6,1,34,57,-51, ['Nevada (2 - 8)', 'Minnesota (7 - 3)', 'UTEP (4 - 6)', 'Wisconsin (5 - 5)',Hawai'i (2 - 9), 'Florida International (4 - 6)', 'New Mexico (2 - 8)', 'San José State (7 - 3)', 'UMass (1 - 9)'],,,,,,,,
Army,3,6,2,46,24,16, ['Coastal Carolina (9 - 1)', 'UT San Antonio (8 - 2)', 'Georgia State (4 - 6)', 'Wake Forest (6 - 4)', 'Louisiana Monroe (4 - 6)', 'Air Force (7 - 3)', 'Troy (8 - 2)'],,,,,,,,,,
Old Dominion,3,7,0,51,47,-72, ['Virginia Tech (2 - 8)', 'East Carolina (6 - 4)', 'Virginia (3 - 7)', 'Arkansas State (3 - 7)', 'Liberty (8 - 2)', 'Coastal Carolina (9 - 1)', 'Georgia Southern (5 - 5)', 'Georgia State (4 - 6)', 'Marshall (5 - 4)', 'James Madison (6 - 3)'],,,,,,,
Stanford,3,7,1,64,26,-114, ['USC (9 - 1)', 'Washington (8 - 2)', 'Oregon (8 - 2)', 'Oregon State (7 - 3)', 'Notre Dame (7 - 3)', 'Arizona State (3 - 7)', 'UCLA (8 - 2)', 'Washington State (6 - 4)', 'Utah (8 - 2)'],,,,,,,,
Indiana,3,7,1,63,28,-122, ['Illinois (7 - 3)', 'Western Kentucky (7 - 4)', 'Cincinnati (8 - 2)', 'Nebraska (3 - 7)', 'Michigan (10 - 0)', 'Maryland (6 - 4)', 'Rutgers (4 - 6)', 'Penn State (8 - 2)', 'Ohio State (10 - 0)'],,,,,,,,
Arizona State,3,7,1,56,34,-37, ['Oklahoma State (7 - 3)', 'Eastern Michigan (6 - 4)', 'Utah (8 - 2)', 'USC (9 - 1)', 'Washington (8 - 2)', 'Stanford (3 - 7)', 'Colorado (1 - 9)', 'UCLA (8 - 2)', 'Washington State (6 - 4)'],,,,,,,,
California,3,7,1,54,36,-47, ['UNLV (4 - 6)', 'Notre Dame (7 - 3)', 'Arizona (4 - 6)', 'Washington State (6 - 4)', 'Colorado (1 - 9)', 'Washington (8 - 2)', 'Oregon (8 - 2)', 'USC (9 - 1)', 'Oregon State (7 - 3)'],,,,,,,,
Boston College,3,7,1,54,37,-98, ['Rutgers (4 - 6)', 'Virginia Tech (2 - 8)', 'Florida State (7 - 3)', 'Louisville (6 - 4)', 'Clemson (9 - 1)', 'Wake Forest (6 - 4)', 'Connecticut (6 - 5)', 'Duke (7 - 3)', 'NC State (7 - 3)'],,,,,,,,
Texas A&M,3,7,1,53,36,-13, ['Appalachian State (5 - 4)', 'Miami (5 - 5)', 'Arkansas (5 - 5)', 'Mississippi State (6 - 4)', 'Alabama (8 - 2)', 'South Carolina (6 - 4)', 'Ole Miss (8 - 2)', 'Florida (6 - 4)', 'Auburn (4 - 6)'],,,,,,,,
Virginia,3,7,1,53,37,-70, ['Illinois (7 - 3)', 'Old Dominion (3 - 7)', 'Syracuse (6 - 4)', 'Duke (7 - 3)', 'Louisville (6 - 4)', 'Georgia Tech (4 - 6)', 'Miami (5 - 5)', 'North Carolina (9 - 1)', 'Pittsburgh (6 - 4)'],,,,,,,,
Louisiana Tech,3,7,1,53,38,-92, ['Missouri (4 - 6)', 'Clemson (9 - 1)', 'South Alabama (8 - 2)', 'UTEP (4 - 6)', 'North Texas (6 - 5)', 'Rice (5 - 5)', 'Florida International (4 - 6)', 'Middle Tennessee (5 - 5)', 'UT San Antonio (8 - 2)'],,,,,,,,
Navy,3,7,1,51,39,-29, ['Memphis (5 - 5)', 'East Carolina (6 - 4)', 'Air Force (7 - 3)', 'Tulsa (3 - 7)', 'SMU (6 - 4)', 'Houston (6 - 4)', 'Temple (3 - 7)', 'Cincinnati (8 - 2)', 'Notre Dame (7 - 3)'],,,,,,,,
Tulsa,3,7,1,51,39,-43, ['Wyoming (7 - 3)', 'Northern Illinois (3 - 7)', 'Ole Miss (8 - 2)', 'Cincinnati (8 - 2)', 'Navy (3 - 7)', 'Temple (3 - 7)', 'SMU (6 - 4)', 'Tulane (8 - 2)', 'Memphis (5 - 5)'],,,,,,,,
Texas State,3,7,1,48,40,-38, ['Nevada (2 - 8)', 'Florida International (4 - 6)', 'Baylor (6 - 4)', 'James Madison (6 - 3)', 'Appalachian State (5 - 4)', 'Troy (8 - 2)', 'Southern Mississippi (5 - 5)', 'Louisiana Monroe (4 - 6)', 'South Alabama (8 - 2)'],,,,,,,,
Nebraska,3,7,1,48,42,-66, ['Northwestern (1 - 9)', 'Georgia Southern (5 - 5)', 'Oklahoma (5 - 5)', 'Indiana (3 - 7)', 'Rutgers (4 - 6)', 'Purdue (6 - 4)', 'Illinois (7 - 3)', 'Minnesota (7 - 3)', 'Michigan (10 - 0)'],,,,,,,,
Western Michigan,3,7,1,48,42,-69, ['Michigan State (5 - 5)', 'Ball State (5 - 5)', 'Pittsburgh (6 - 4)', 'San José State (7 - 3)', 'Eastern Michigan (6 - 4)', 'Ohio (7 - 3)', 'Miami (OH) (4 - 6)', 'Bowling Green (5 - 5)', 'Northern Illinois (3 - 7)'],,,,,,,,
Arkansas State,3,7,1,47,42,-45, ['Ohio State (10 - 0)', 'Memphis (5 - 5)', 'Old Dominion (3 - 7)', 'Louisiana Monroe (4 - 6)', 'James Madison (6 - 3)', 'Southern Mississippi (5 - 5)', 'Louisiana (5 - 5)', 'South Alabama (8 - 2)', 'UMass (1 - 9)'],,,,,,,,
Northern Illinois,3,7,1,45,45,-28, ['Tulsa (3 - 7)', 'Vanderbilt (4 - 6)', 'Kentucky (6 - 4)', 'Ball State (5 - 5)', 'Toledo (7 - 3)', 'Eastern Michigan (6 - 4)', 'Ohio (7 - 3)', 'Central Michigan (4 - 6)', 'Western Michigan (3 - 7)'],,,,,,,,
Temple,3,7,1,38,52,-65, ['Duke (7 - 3)', 'Rutgers (4 - 6)', 'UMass (1 - 9)', 'Memphis (5 - 5)', 'UCF (8 - 2)', 'Tulsa (3 - 7)', 'Navy (3 - 7)', 'South Florida (1 - 9)', 'Houston (6 - 4)'],,,,,,,,
New Mexico,2,8,1,52,38,-114, ['Boise State (7 - 3)', 'UTEP (4 - 6)', 'LSU (8 - 2)', 'UNLV (4 - 6)', 'Wyoming (7 - 3)', 'New Mexico State (4 - 6)', 'Fresno State (6 - 4)', 'Utah State (5 - 5)', 'Air Force (7 - 3)'],,,,,,,,
Colorado State,2,8,1,51,40,-170, ['Michigan (10 - 0)', 'Middle Tennessee (5 - 5)', 'Washington State (6 - 4)', 'Nevada (2 - 8)', 'Utah State (5 - 5)',Hawai'i (2 - 9), 'Boise State (7 - 3)', 'San José State (7 - 3)', 'Wyoming (7 - 3)'],,,,,,,,
Virginia Tech,2,8,1,48,42,-61, ['Old Dominion (3 - 7)', 'Boston College (3 - 7)', 'West Virginia (4 - 6)', 'North Carolina (9 - 1)', 'Pittsburgh (6 - 4)', 'Miami (5 - 5)', 'NC State (7 - 3)', 'Georgia Tech (4 - 6)', 'Duke (7 - 3)'],,,,,,,,
Nevada,2,8,1,44,47,-113, ['New Mexico State (4 - 6)', 'Texas State (3 - 7)', 'Iowa (6 - 4)', 'Air Force (7 - 3)', 'Colorado State (2 - 8)',Hawai'i (2 - 9), 'San Diego State (6 - 4)', 'San José State (7 - 3)', 'Boise State (7 - 3)'],,,,,,,,
Hawai'i,2,9,1,53,48,-187, ['Vanderbilt (4 - 6)', 'Western Kentucky (7 - 4)', 'Michigan (10 - 0)', 'New Mexico State (4 - 6)', 'San Diego State (6 - 4)', 'Nevada (2 - 8)', 'Colorado State (2 - 8)', 'Wyoming (7 - 3)', 'Fresno State (6 - 4)', 'Utah State (5 - 5)'],,,,,,,
Charlotte,2,9,1,50,50,-185, ['Florida Atlantic (4 - 5)', 'Maryland (6 - 4)', 'Georgia State (4 - 6)', 'South Carolina (6 - 4)', 'UTEP (4 - 6)', 'UAB (5 - 5)', 'Florida International (4 - 6)', 'Rice (5 - 5)', 'Western Kentucky (7 - 4)', 'Middle Tennessee (5 - 5)'],,,,,,,
Colorado,1,9,0,66,34,-260, ['TCU (10 - 0)', 'Air Force (7 - 3)', 'Minnesota (7 - 3)', 'UCLA (8 - 2)', 'Arizona (4 - 6)', 'California (3 - 7)', 'Oregon State (7 - 3)', 'Arizona State (3 - 7)', 'Oregon (8 - 2)', 'USC (9 - 1)'],,,,,,,
Northwestern,1,9,1,56,34,-129, ['Nebraska (3 - 7)', 'Duke (7 - 3)', 'Miami (OH) (4 - 6)', 'Penn State (8 - 2)', 'Wisconsin (5 - 5)', 'Maryland (6 - 4)', 'Iowa (6 - 4)', 'Ohio State (10 - 0)', 'Minnesota (7 - 3)'],,,,,,,,
South Florida,1,9,1,54,36,-145, ['BYU (5 - 5)', 'Florida (6 - 4)', 'Louisville (6 - 4)', 'East Carolina (6 - 4)', 'Cincinnati (8 - 2)', 'Tulane (8 - 2)', 'Houston (6 - 4)', 'Temple (3 - 7)', 'SMU (6 - 4)'],,,,,,,,
Akron,1,9,1,52,38,-172, ['Michigan State (5 - 5)', 'Tennessee (9 - 1)', 'Liberty (8 - 2)', 'Bowling Green (5 - 5)', 'Ohio (7 - 3)', 'Central Michigan (4 - 6)', 'Kent State (4 - 6)', 'Miami (OH) (4 - 6)', 'Eastern Michigan (6 - 4)'],,,,,,,,
UMass,1,9,1,50,41,-169, ['Tulane (8 - 2)', 'Toledo (7 - 3)', 'Temple (3 - 7)', 'Eastern Michigan (6 - 4)', 'Liberty (8 - 2)', 'Buffalo (5 - 5)', 'New Mexico State (4 - 6)', 'Connecticut (6 - 5)', 'Arkansas State (3 - 7)'],,,,,,,,
