name, wins, losses, fcs_count, opponent_total_wins, opponent_total_losses, point_diff, opponents,,,,,
Air Force,4,1,1,6,14,90, ['Colorado (0 - 5)', 'Wyoming (3 - 3)', 'Nevada (2 - 3)', 'Navy (1 - 3)'],,
Minnesota,4,1,1,6,15,149, ['New Mexico State (1 - 5)', 'Colorado (0 - 5)', 'Michigan State (2 - 3)', 'Purdue (3 - 2)'],,
San José State,3,1,1,8,8,41, ['Auburn (3 - 2)', 'Western Michigan (2 - 3)', 'Wyoming (3 - 3)'],,,
UCF,3,1,1,5,10,83, ['Louisville (2 - 3)', 'Florida Atlantic (1 - 4)', 'Georgia Tech (2 - 3)'],,,
Texas,3,2,0,15,10,77, ['Louisiana Monroe (2 - 3)', 'Alabama (5 - 0)', 'UT San Antonio (3 - 2)', 'Texas Tech (3 - 2)', 'West Virginia (2 - 3)'],
Oklahoma,3,2,0,15,10,59, ['UTEP (3 - 3)', 'Kent State (2 - 3)', 'Nebraska (2 - 3)', 'Kansas State (4 - 1)', 'TCU (4 - 0)'],
Purdue,3,2,1,15,5,61, ['Penn State (5 - 0)', 'Syracuse (5 - 0)', 'Florida Atlantic (1 - 4)', 'Minnesota (4 - 1)'],,
Arkansas,3,2,1,15,5,7, ['Cincinnati (4 - 1)', 'South Carolina (3 - 2)', 'Texas A&M (3 - 2)', 'Alabama (5 - 0)'],,
Appalachian State,3,2,1,14,5,50, ['North Carolina (4 - 1)', 'Texas A&M (3 - 2)', 'Troy (3 - 2)', 'James Madison (4 - 0)'],,
Auburn,3,2,1,14,5,4, ['San José State (3 - 1)', 'Penn State (5 - 0)', 'Missouri (2 - 3)', 'LSU (4 - 1)'],,
Troy,3,2,1,14,6,15, ['Ole Miss (5 - 0)', 'Appalachian State (3 - 2)', 'Marshall (3 - 2)', 'Western Kentucky (3 - 2)'],,
Baylor,3,2,1,13,6,84, ['BYU (4 - 1)', 'Texas State (2 - 3)', 'Iowa State (3 - 2)', 'Oklahoma State (4 - 0)'],,
Oregon State,3,2,1,13,6,31, ['Boise State (3 - 2)', 'Fresno State (1 - 3)', 'USC (5 - 0)', 'Utah (4 - 1)'],,
Florida,3,2,1,13,6,26, ['Utah (4 - 1)', 'Kentucky (4 - 1)', 'South Florida (1 - 4)', 'Tennessee (4 - 0)'],,
California,3,2,1,13,6,19, ['UNLV (4 - 1)', 'Notre Dame (2 - 2)', 'Arizona (3 - 2)', 'Washington State (4 - 1)'],,
Iowa State,3,2,1,13,7,58, ['Iowa (3 - 2)', 'Ohio (2 - 3)', 'Baylor (3 - 2)', 'Kansas (5 - 0)'],,
Texas Tech,3,2,1,13,7,37, ['Houston (2 - 3)', 'NC State (4 - 1)', 'Texas (3 - 2)', 'Kansas State (4 - 1)'],,
Iowa,3,2,1,13,7,32, ['Iowa State (3 - 2)', 'Nevada (2 - 3)', 'Rutgers (3 - 2)', 'Michigan (5 - 0)'],,
Indiana,3,2,1,13,7,-16, ['Illinois (4 - 1)', 'Western Kentucky (3 - 2)', 'Cincinnati (4 - 1)', 'Nebraska (2 - 3)'],,
Texas A&M,3,2,1,12,7,20, ['Appalachian State (3 - 2)', 'Miami (2 - 2)', 'Arkansas (3 - 2)', 'Mississippi State (4 - 1)'],,
Rutgers,3,2,1,12,8,6, ['Boston College (2 - 3)', 'Temple (2 - 3)', 'Iowa (3 - 2)', 'Ohio State (5 - 0)'],,
Georgia Southern,3,2,1,11,8,48, ['Nebraska (2 - 3)', 'UAB (2 - 2)', 'Ball State (2 - 3)', 'Coastal Carolina (5 - 0)'],,
Rice,3,2,1,11,8,-1, ['USC (5 - 0)', 'Louisiana (2 - 3)', 'Houston (2 - 3)', 'UAB (2 - 2)'],,
Vanderbilt,3,2,1,11,9,2," [""Hawai'i (1 - 4)""", 'Wake Forest (4 - 1)', 'Northern Illinois (1 - 4)', 'Alabama (5 - 0)'],,
Pittsburgh,3,2,1,10,9,37, ['West Virginia (2 - 3)', 'Tennessee (4 - 0)', 'Western Michigan (2 - 3)', 'Georgia Tech (2 - 3)'],,
South Carolina,3,2,1,10,11,42, ['Georgia State (1 - 4)', 'Arkansas (3 - 2)', 'Georgia (5 - 0)', 'Charlotte (1 - 5)'],,
Boise State,3,2,1,10,11,28, ['Oregon State (3 - 2)', 'New Mexico (2 - 3)', 'UTEP (3 - 3)', 'San Diego State (2 - 3)'],,
Middle Tennessee,3,2,1,9,8,20, ['James Madison (4 - 0)', 'Colorado State (0 - 4)', 'Miami (2 - 2)', 'UT San Antonio (3 - 2)'],,
Western Kentucky,3,2,1,9,10,106," [""Hawai'i (1 - 4)""", 'Indiana (3 - 2)', 'Florida International (2 - 2)', 'Troy (3 - 2)'],,
UT San Antonio,3,2,1,9,10,23, ['Houston (2 - 3)', 'Army (1 - 3)', 'Texas (3 - 2)', 'Middle Tennessee (3 - 2)'],,
Toledo,3,2,1,9,11,44, ['UMass (1 - 4)', 'Ohio State (5 - 0)', 'San Diego State (2 - 3)', 'Central Michigan (1 - 4)'],,
Arizona,3,2,1,9,11,4, ['San Diego State (2 - 3)', 'Mississippi State (4 - 1)', 'California (3 - 2)', 'Colorado (0 - 5)'],,
East Carolina,3,2,1,8,11,80, ['NC State (4 - 1)', 'Old Dominion (2 - 3)', 'Navy (1 - 3)', 'South Florida (1 - 4)'],,
Eastern Michigan,3,2,1,6,14,-23, ['Louisiana (2 - 3)', 'Arizona State (1 - 4)', 'Buffalo (2 - 3)', 'UMass (1 - 4)'],,
Marshall,3,2,2,7,7,66, ['Notre Dame (2 - 2)', 'Bowling Green (2 - 3)', 'Troy (3 - 2)'],,,
UTEP,3,3,0,13,20,-37, ['North Texas (3 - 3)', 'Oklahoma (3 - 2)', 'New Mexico State (1 - 5)', 'New Mexico (2 - 3)', 'Boise State (3 - 2)', 'Charlotte (1 - 5)']
Wyoming,3,3,1,17,7,-34, ['Illinois (4 - 1)', 'Tulsa (2 - 3)', 'Air Force (4 - 1)', 'BYU (4 - 1)', 'San José State (3 - 1)'],
North Texas,3,3,1,14,11,-12, ['UTEP (3 - 3)', 'SMU (2 - 2)', 'UNLV (4 - 1)', 'Memphis (4 - 1)', 'Florida Atlantic (1 - 4)'],
Notre Dame,2,2,0,15,5,4, ['Ohio State (5 - 0)', 'Marshall (3 - 2)', 'California (3 - 2)', 'North Carolina (4 - 1)'],,
SMU,2,2,1,11,4,52, ['North Texas (3 - 3)', 'Maryland (4 - 1)', 'TCU (4 - 0)'],,,
Southern Mississippi,2,2,1,10,4,32, ['Liberty (4 - 1)', 'Miami (2 - 2)', 'Tulane (4 - 1)'],,,
UAB,2,2,1,10,5,62, ['Liberty (4 - 1)', 'Georgia Southern (3 - 2)', 'Rice (3 - 2)'],,,
Miami,2,2,1,8,6,58, ['Southern Mississippi (2 - 2)', 'Texas A&M (3 - 2)', 'Middle Tennessee (3 - 2)'],,,
Florida International,2,2,1,6,10,-87, ['Texas State (2 - 3)', 'Western Kentucky (3 - 2)', 'New Mexico State (1 - 5)'],,,
Houston,2,3,0,18,7,-15, ['UT San Antonio (3 - 2)', 'Texas Tech (3 - 2)', 'Kansas (5 - 0)', 'Rice (3 - 2)', 'Tulane (4 - 1)'],
Louisville,2,3,0,15,9,15, ['Syracuse (5 - 0)', 'UCF (3 - 1)', 'Florida State (4 - 1)', 'South Florida (1 - 4)', 'Boston College (2 - 3)'],
