name, wins, losses, fcs_count, opponent_total_wins, opponent_total_losses, point_diff, opponents,,,,,,,,,,,,,,,
UT San Antonio,7,2,1,38,35,56, ['Houston (5 - 4)', 'Army (3 - 5)', 'Texas (6 - 3)', 'Middle Tennessee (4 - 5)', 'Western Kentucky (6 - 4)', 'Florida International (4 - 5)', 'North Texas (6 - 4)', 'UAB (4 - 5)'],,,,,,,,
Illinois,7,2,1,35,37,129, ['Wyoming (6 - 3)', 'Indiana (3 - 6)', 'Virginia (3 - 6)', 'Wisconsin (5 - 4)', 'Iowa (5 - 4)', 'Minnesota (6 - 3)', 'Nebraska (3 - 6)', 'Michigan State (4 - 5)'],,,,,,,,
South Alabama,7,2,1,35,37,119, ['Central Michigan (3 - 6)', 'UCLA (8 - 1)', 'Louisiana Tech (3 - 6)', 'Louisiana (4 - 5)', 'Louisiana Monroe (3 - 6)', 'Troy (7 - 2)', 'Arkansas State (2 - 7)', 'Georgia Southern (5 - 4)'],,,,,,,,
Washington,7,2,1,33,39,105, ['Kent State (3 - 6)', 'Michigan State (4 - 5)', 'Stanford (3 - 6)', 'UCLA (8 - 1)', 'Arizona State (3 - 6)', 'Arizona (3 - 6)', 'California (3 - 6)', 'Oregon State (6 - 3)'],,,,,,,,
Cincinnati,7,2,1,31,41,110, ['Arkansas (5 - 4)', 'Miami (OH) (4 - 5)', 'Indiana (3 - 6)', 'Tulsa (3 - 6)', 'South Florida (1 - 8)', 'SMU (5 - 4)', 'UCF (7 - 2)', 'Navy (3 - 6)'],,,,,,,,
San José State,7,2,1,28,44,86, ['Auburn (3 - 6)', 'Western Michigan (3 - 6)', 'Wyoming (6 - 3)', 'UNLV (4 - 5)', 'Fresno State (5 - 4)', 'New Mexico State (3 - 6)', 'Nevada (2 - 7)', 'Colorado State (2 - 7)'],,,,,,,,
Notre Dame,6,3,0,51,31,71, ['Ohio State (9 - 0)', 'Marshall (5 - 4)', 'California (3 - 6)', 'North Carolina (8 - 1)', 'BYU (5 - 5)', 'Stanford (3 - 6)', 'UNLV (4 - 5)', 'Syracuse (6 - 3)', 'Clemson (8 - 1)'],,,,,,,
Texas,6,3,0,45,36,129, ['Louisiana Monroe (3 - 6)', 'Alabama (7 - 2)', 'UT San Antonio (7 - 2)', 'Texas Tech (4 - 5)', 'West Virginia (3 - 6)', 'Oklahoma (5 - 4)', 'Iowa State (4 - 5)', 'Oklahoma State (6 - 3)', 'Kansas State (6 - 3)'],,,,,,,
Mississippi State,6,3,0,43,38,77, ['Memphis (4 - 5)', 'Arizona (3 - 6)', 'LSU (7 - 2)', 'Bowling Green (5 - 4)', 'Texas A&M (3 - 6)', 'Arkansas (5 - 4)', 'Kentucky (6 - 3)', 'Alabama (7 - 2)', 'Auburn (3 - 6)'],,,,,,,
Louisville,6,3,0,41,39,97, ['Syracuse (6 - 3)', 'UCF (7 - 2)', 'Florida State (6 - 3)', 'South Florida (1 - 8)', 'Boston College (2 - 7)', 'Virginia (3 - 6)', 'Pittsburgh (5 - 4)', 'Wake Forest (6 - 3)', 'James Madison (5 - 3)'],,,,,,,
Maryland,6,3,0,39,43,67, ['Buffalo (5 - 4)', 'Charlotte (2 - 8)', 'SMU (5 - 4)', 'Michigan (9 - 0)', 'Michigan State (4 - 5)', 'Purdue (5 - 4)', 'Indiana (3 - 6)', 'Northwestern (1 - 8)', 'Wisconsin (5 - 4)'],,,,,,,
Kansas State,6,3,1,46,26,103, ['Missouri (4 - 5)', 'Tulane (8 - 1)', 'Oklahoma (5 - 4)', 'Texas Tech (4 - 5)', 'Iowa State (4 - 5)', 'TCU (9 - 0)', 'Oklahoma State (6 - 3)', 'Texas (6 - 3)'],,,,,,,,
Syracuse,6,3,1,45,28,104, ['Louisville (6 - 3)', 'Connecticut (5 - 5)', 'Purdue (5 - 4)', 'Virginia (3 - 6)', 'NC State (7 - 2)', 'Clemson (8 - 1)', 'Notre Dame (6 - 3)', 'Pittsburgh (5 - 4)'],,,,,,,,
Florida State,6,3,1,44,28,124, ['LSU (7 - 2)', 'Louisville (6 - 3)', 'Boston College (2 - 7)', 'Wake Forest (6 - 3)', 'NC State (7 - 2)', 'Clemson (8 - 1)', 'Georgia Tech (4 - 5)', 'Miami (4 - 5)'],,,,,,,,
Kansas,6,3,1,44,28,80, ['West Virginia (3 - 6)', 'Houston (5 - 4)', 'Duke (6 - 3)', 'Iowa State (4 - 5)', 'TCU (9 - 0)', 'Oklahoma (5 - 4)', 'Baylor (6 - 3)', 'Oklahoma State (6 - 3)'],,,,,,,,
Wake Forest,6,3,1,43,28,86, ['Vanderbilt (3 - 6)', 'Liberty (8 - 1)', 'Clemson (8 - 1)', 'Florida State (6 - 3)', 'Army (3 - 5)', 'Boston College (2 - 7)', 'Louisville (6 - 3)', 'NC State (7 - 2)'],,,,,,,,
Oklahoma State,6,3,1,43,29,43, ['Central Michigan (3 - 6)', 'Arizona State (3 - 6)', 'Baylor (6 - 3)', 'Texas Tech (4 - 5)', 'TCU (9 - 0)', 'Texas (6 - 3)', 'Kansas State (6 - 3)', 'Kansas (6 - 3)'],,,,,,,,
Kentucky,6,3,1,43,29,36, ['Miami (OH) (4 - 5)', 'Florida (5 - 4)', 'Northern Illinois (2 - 7)', 'Ole Miss (8 - 1)', 'South Carolina (6 - 3)', 'Mississippi State (6 - 3)', 'Tennessee (8 - 1)', 'Missouri (4 - 5)'],,,,,,,,
Oregon State,6,3,1,42,30,76, ['Boise State (6 - 3)', 'Fresno State (5 - 4)', 'USC (8 - 1)', 'Utah (7 - 2)', 'Stanford (3 - 6)', 'Washington State (5 - 4)', 'Colorado (1 - 8)', 'Washington (7 - 2)'],,,,,,,,
East Carolina,6,3,1,38,35,91, ['NC State (7 - 2)', 'Old Dominion (3 - 6)', 'Navy (3 - 6)', 'South Florida (1 - 8)', 'Tulane (8 - 1)', 'Memphis (4 - 5)', 'UCF (7 - 2)', 'BYU (5 - 5)'],,,,,,,,
Baylor,6,3,1,36,37,124, ['BYU (5 - 5)', 'Texas State (3 - 6)', 'Iowa State (4 - 5)', 'Oklahoma State (6 - 3)', 'West Virginia (3 - 6)', 'Kansas (6 - 3)', 'Texas Tech (4 - 5)', 'Oklahoma (5 - 4)'],,,,,,,,
South Carolina,6,3,1,36,37,56, ['Georgia State (4 - 5)', 'Arkansas (5 - 4)', 'Georgia (9 - 0)', 'Charlotte (2 - 8)', 'Kentucky (6 - 3)', 'Texas A&M (3 - 6)', 'Missouri (4 - 5)', 'Vanderbilt (3 - 6)'],,,,,,,,
