name, wins, losses, fcs_count, opponent_total_wins, opponent_total_losses, point_diff, opponents,,,,,,,,,,,,,,,
Florida Atlantic,3,5,0,39,36,-11, ['Charlotte (2 - 8)', 'Ohio (6 - 3)', 'UCF (7 - 2)', 'Purdue (5 - 4)', 'North Texas (6 - 4)', 'Rice (5 - 4)', 'UTEP (4 - 6)', 'UAB (4 - 5)'],,,,,,,,
Army,3,5,2,34,20,17, ['Coastal Carolina (8 - 1)', 'UT San Antonio (7 - 2)', 'Georgia State (4 - 5)', 'Wake Forest (6 - 3)', 'Louisiana Monroe (3 - 6)', 'Air Force (6 - 3)'],,,,,,,,,,
Old Dominion,3,6,0,43,38,-38, ['Virginia Tech (2 - 7)', 'East Carolina (6 - 3)', 'Virginia (3 - 6)', 'Arkansas State (2 - 7)', 'Liberty (8 - 1)', 'Coastal Carolina (8 - 1)', 'Georgia Southern (5 - 4)', 'Georgia State (4 - 5)', 'Marshall (5 - 4)'],,,,,,,
New Mexico State,3,6,0,33,50,-88, ['Nevada (2 - 7)', 'Minnesota (6 - 3)', 'UTEP (4 - 6)', 'Wisconsin (5 - 4)',Hawai'i (2 - 8), 'Florida International (4 - 5)', 'New Mexico (2 - 7)', 'San José State (7 - 2)', 'UMass (1 - 8)'],,,,,,,
Auburn,3,6,1,53,19,-62, ['San José State (7 - 2)', 'Penn State (7 - 2)', 'Missouri (4 - 5)', 'LSU (7 - 2)', 'Georgia (9 - 0)', 'Ole Miss (8 - 1)', 'Arkansas (5 - 4)', 'Mississippi State (6 - 3)'],,,,,,,,
Stanford,3,6,1,51,21,-79, ['USC (8 - 1)', 'Washington (7 - 2)', 'Oregon (8 - 1)', 'Oregon State (6 - 3)', 'Notre Dame (6 - 3)', 'Arizona State (3 - 6)', 'UCLA (8 - 1)', 'Washington State (5 - 4)'],,,,,,,,
Indiana,3,6,1,49,24,-80, ['Illinois (7 - 2)', 'Western Kentucky (6 - 4)', 'Cincinnati (7 - 2)', 'Nebraska (3 - 6)', 'Michigan (9 - 0)', 'Maryland (6 - 3)', 'Rutgers (4 - 5)', 'Penn State (7 - 2)'],,,,,,,,
Texas A&M,3,6,1,46,26,-10, ['Appalachian State (5 - 4)', 'Miami (4 - 5)', 'Arkansas (5 - 4)', 'Mississippi State (6 - 3)', 'Alabama (7 - 2)', 'South Carolina (6 - 3)', 'Ole Miss (8 - 1)', 'Florida (5 - 4)'],,,,,,,,
Arizona State,3,6,1,45,27,-27, ['Oklahoma State (6 - 3)', 'Eastern Michigan (5 - 4)', 'Utah (7 - 2)', 'USC (8 - 1)', 'Washington (7 - 2)', 'Stanford (3 - 6)', 'Colorado (1 - 8)', 'UCLA (8 - 1)'],,,,,,,,
Arizona,3,6,1,45,27,-66, ['San Diego State (5 - 4)', 'Mississippi State (6 - 3)', 'California (3 - 6)', 'Colorado (1 - 8)', 'Oregon (8 - 1)', 'Washington (7 - 2)', 'USC (8 - 1)', 'Utah (7 - 2)'],,,,,,,,
Virginia,3,6,1,44,28,-40, ['Illinois (7 - 2)', 'Old Dominion (3 - 6)', 'Syracuse (6 - 3)', 'Duke (6 - 3)', 'Louisville (6 - 3)', 'Georgia Tech (4 - 5)', 'Miami (4 - 5)', 'North Carolina (8 - 1)'],,,,,,,,
Vanderbilt,3,6,1,44,29,-91," [""Hawai'i (2 - 8)""", 'Wake Forest (6 - 3)', 'Northern Illinois (2 - 7)', 'Alabama (7 - 2)', 'Ole Miss (8 - 1)', 'Georgia (9 - 0)', 'Missouri (4 - 5)', 'South Carolina (6 - 3)'],,,,,,,,
Kent State,3,6,1,43,29,-37, ['Washington (7 - 2)', 'Oklahoma (5 - 4)', 'Georgia (9 - 0)', 'Ohio (6 - 3)', 'Miami (OH) (4 - 5)', 'Toledo (6 - 3)', 'Akron (1 - 8)', 'Ball State (5 - 4)'],,,,,,,,
California,3,6,1,42,30,-19, ['UNLV (4 - 5)', 'Notre Dame (6 - 3)', 'Arizona (3 - 6)', 'Washington State (5 - 4)', 'Colorado (1 - 8)', 'Washington (7 - 2)', 'Oregon (8 - 1)', 'USC (8 - 1)'],,,,,,,,
West Virginia,3,6,1,42,30,-19, ['Pittsburgh (5 - 4)', 'Kansas (6 - 3)', 'Virginia Tech (2 - 7)', 'Texas (6 - 3)', 'Baylor (6 - 3)', 'Texas Tech (4 - 5)', 'TCU (9 - 0)', 'Iowa State (4 - 5)'],,,,,,,,
Tulsa,3,6,1,42,30,-27, ['Wyoming (6 - 3)', 'Northern Illinois (2 - 7)', 'Ole Miss (8 - 1)', 'Cincinnati (7 - 2)', 'Navy (3 - 6)', 'Temple (3 - 6)', 'SMU (5 - 4)', 'Tulane (8 - 1)'],,,,,,,,
Louisiana Tech,3,6,1,42,32,-48, ['Missouri (4 - 5)', 'Clemson (8 - 1)', 'South Alabama (7 - 2)', 'UTEP (4 - 6)', 'North Texas (6 - 4)', 'Rice (5 - 4)', 'Florida International (4 - 5)', 'Middle Tennessee (4 - 5)'],,,,,,,,
Western Michigan,3,6,1,41,31,-66, ['Michigan State (4 - 5)', 'Ball State (5 - 4)', 'Pittsburgh (5 - 4)', 'San José State (7 - 2)', 'Eastern Michigan (5 - 4)', 'Ohio (6 - 3)', 'Miami (OH) (4 - 5)', 'Bowling Green (5 - 4)'],,,,,,,,
Louisiana Monroe,3,6,1,40,31,-120, ['Texas (6 - 3)', 'Alabama (7 - 2)', 'Louisiana (4 - 5)', 'Arkansas State (2 - 7)', 'Coastal Carolina (8 - 1)', 'South Alabama (7 - 2)', 'Army (3 - 5)', 'Texas State (3 - 6)'],,,,,,,,
Central Michigan,3,6,1,39,33,-24, ['Oklahoma State (6 - 3)', 'South Alabama (7 - 2)', 'Penn State (7 - 2)', 'Toledo (6 - 3)', 'Ball State (5 - 4)', 'Akron (1 - 8)', 'Bowling Green (5 - 4)', 'Northern Illinois (2 - 7)'],,,,,,,,
Navy,3,6,1,39,33,-26, ['Memphis (4 - 5)', 'East Carolina (6 - 3)', 'Air Force (6 - 3)', 'Tulsa (3 - 6)', 'SMU (5 - 4)', 'Houston (5 - 4)', 'Temple (3 - 6)', 'Cincinnati (7 - 2)'],,,,,,,,
Texas State,3,6,1,37,34,-21, ['Nevada (2 - 7)', 'Florida International (4 - 5)', 'Baylor (6 - 3)', 'James Madison (5 - 3)', 'Appalachian State (5 - 4)', 'Troy (7 - 2)', 'Southern Mississippi (5 - 4)', 'Louisiana Monroe (3 - 6)'],,,,,,,,
Nebraska,3,6,1,36,36,-35, ['Northwestern (1 - 8)', 'Georgia Southern (5 - 4)', 'Oklahoma (5 - 4)', 'Indiana (3 - 6)', 'Rutgers (4 - 5)', 'Purdue (5 - 4)', 'Illinois (7 - 2)', 'Minnesota (6 - 3)'],,,,,,,,
Temple,3,6,1,29,43,-58, ['Duke (6 - 3)', 'Rutgers (4 - 5)', 'UMass (1 - 8)', 'Memphis (4 - 5)', 'UCF (7 - 2)', 'Tulsa (3 - 6)', 'Navy (3 - 6)', 'South Florida (1 - 8)'],,,,,,,,
Boston College,2,7,1,43,30,-99, ['Rutgers (4 - 5)', 'Virginia Tech (2 - 7)', 'Florida State (6 - 3)', 'Louisville (6 - 3)', 'Clemson (8 - 1)', 'Wake Forest (6 - 3)', 'Connecticut (5 - 5)', 'Duke (6 - 3)'],,,,,,,,
Arkansas State,2,7,1,40,31,-47, ['Ohio State (9 - 0)', 'Memphis (4 - 5)', 'Old Dominion (3 - 6)', 'Louisiana Monroe (3 - 6)', 'James Madison (5 - 3)', 'Southern Mississippi (5 - 4)', 'Louisiana (4 - 5)', 'South Alabama (7 - 2)'],,,,,,,,
New Mexico,2,7,1,39,34,-82, ['Boise State (6 - 3)', 'UTEP (4 - 6)', 'LSU (7 - 2)', 'UNLV (4 - 5)', 'Wyoming (6 - 3)', 'New Mexico State (3 - 6)', 'Fresno State (5 - 4)', 'Utah State (4 - 5)'],,,,,,,,
Colorado State,2,7,1,39,34,-169, ['Michigan (9 - 0)', 'Middle Tennessee (4 - 5)', 'Washington State (5 - 4)', 'Nevada (2 - 7)', 'Utah State (4 - 5)',Hawai'i (2 - 8), 'Boise State (6 - 3)', 'San José State (7 - 2)'],,,,,,,,
Northern Illinois,2,7,1,37,35,-31, ['Tulsa (3 - 6)', 'Vanderbilt (3 - 6)', 'Kentucky (6 - 3)', 'Ball State (5 - 4)', 'Toledo (6 - 3)', 'Eastern Michigan (5 - 4)', 'Ohio (6 - 3)', 'Central Michigan (3 - 6)'],,,,,,,,
Virginia Tech,2,7,1,36,36,-44, ['Old Dominion (3 - 6)', 'Boston College (2 - 7)', 'West Virginia (3 - 6)', 'North Carolina (8 - 1)', 'Pittsburgh (5 - 4)', 'Miami (4 - 5)', 'NC State (7 - 2)', 'Georgia Tech (4 - 5)'],,,,,,,,
Nevada,2,7,1,33,40,-75, ['New Mexico State (3 - 6)', 'Texas State (3 - 6)', 'Iowa (5 - 4)', 'Air Force (6 - 3)', 'Colorado State (2 - 7)',Hawai'i (2 - 8), 'San Diego State (5 - 4)', 'San José State (7 - 2)'],,,,,,,,
Charlotte,2,8,1,42,40,-175, ['Florida Atlantic (3 - 5)', 'Maryland (6 - 3)', 'Georgia State (4 - 5)', 'South Carolina (6 - 3)', 'UTEP (4 - 6)', 'UAB (4 - 5)', 'Florida International (4 - 5)', 'Rice (5 - 4)', 'Western Kentucky (6 - 4)'],,,,,,,
Hawai'i,2,8,1,41,41,-180, ['Vanderbilt (3 - 6)', 'Western Kentucky (6 - 4)', 'Michigan (9 - 0)', 'New Mexico State (3 - 6)', 'San Diego State (5 - 4)', 'Nevada (2 - 7)', 'Colorado State (2 - 7)', 'Wyoming (6 - 3)', 'Fresno State (5 - 4)'],,,,,,,
Colorado,1,8,0,52,29,-222, ['TCU (9 - 0)', 'Air Force (6 - 3)', 'Minnesota (6 - 3)', 'UCLA (8 - 1)', 'Arizona (3 - 6)', 'California (3 - 6)', 'Oregon State (6 - 3)', 'Arizona State (3 - 6)', 'Oregon (8 - 1)'],,,,,,,
Northwestern,1,8,1,45,27,-101, ['Nebraska (3 - 6)', 'Duke (6 - 3)', 'Miami (OH) (4 - 5)', 'Penn State (7 - 2)', 'Wisconsin (5 - 4)', 'Maryland (6 - 3)', 'Iowa (5 - 4)', 'Ohio State (9 - 0)'],,,,,,,,
South Florida,1,8,1,45,28,-127, ['BYU (5 - 5)', 'Florida (5 - 4)', 'Louisville (6 - 3)', 'East Carolina (6 - 3)', 'Cincinnati (7 - 2)', 'Tulane (8 - 1)', 'Houston (5 - 4)', 'Temple (3 - 6)'],,,,,,,,
UMass,1,8,1,43,30,-167, ['Tulane (8 - 1)', 'Toledo (6 - 3)', 'Temple (3 - 6)', 'Eastern Michigan (5 - 4)', 'Liberty (8 - 1)', 'Buffalo (5 - 4)', 'New Mexico State (3 - 6)', 'Connecticut (5 - 5)'],,,,,,,,
Akron,1,8,1,41,31,-166, ['Michigan State (4 - 5)', 'Tennessee (8 - 1)', 'Liberty (8 - 1)', 'Bowling Green (5 - 4)', 'Ohio (6 - 3)', 'Central Michigan (3 - 6)', 'Kent State (3 - 6)', 'Miami (OH) (4 - 5)'],,,,,,,,
