name, wins, losses, fcs_count, opponent_total_wins, opponent_total_losses, point_diff, opponents,,,,,,,,
BYU,4,2,0,18,17,32, ['South Florida (1 - 5)', 'Baylor (3 - 2)', 'Oregon (5 - 1)', 'Wyoming (4 - 3)', 'Utah State (2 - 4)', 'Notre Dame (3 - 2)'],,,
Memphis,4,2,0,17,17,40, ['Mississippi State (5 - 1)', 'Navy (2 - 3)', 'Arkansas State (2 - 4)', 'North Texas (3 - 3)', 'Temple (2 - 3)', 'Houston (3 - 3)'],,,
Purdue,4,2,1,19,7,63, ['Penn State (5 - 0)', 'Syracuse (5 - 0)', 'Florida Atlantic (1 - 4)', 'Minnesota (4 - 1)', 'Maryland (4 - 2)'],,,,
LSU,4,2,1,19,10,77, ['Florida State (4 - 2)', 'Mississippi State (5 - 1)', 'New Mexico (2 - 4)', 'Auburn (3 - 3)', 'Tennessee (5 - 0)'],,,,
Utah,4,2,1,19,11,128, ['Florida (4 - 2)', 'San Diego State (3 - 3)', 'Arizona State (2 - 4)', 'Oregon State (4 - 2)', 'UCLA (6 - 0)'],,,,
Florida State,4,2,1,19,11,63, ['LSU (4 - 2)', 'Louisville (3 - 3)', 'Boston College (2 - 4)', 'Wake Forest (5 - 1)', 'NC State (5 - 1)'],,,,
Washington State,4,2,1,18,10,41, ['Wisconsin (3 - 3)', 'Colorado State (1 - 4)', 'Oregon (5 - 1)', 'California (3 - 2)', 'USC (6 - 0)'],,,,
Kentucky,4,2,1,18,12,60, ['Miami (OH) (3 - 3)', 'Florida (4 - 2)', 'Northern Illinois (1 - 5)', 'Ole Miss (6 - 0)', 'South Carolina (4 - 2)'],,,,
Troy,4,2,1,17,11,32, ['Ole Miss (6 - 0)', 'Appalachian State (3 - 3)', 'Marshall (3 - 2)', 'Western Kentucky (3 - 3)', 'Southern Mississippi (2 - 3)'],,,,
Oregon State,4,2,1,16,12,32, ['Boise State (4 - 2)', 'Fresno State (1 - 4)', 'USC (6 - 0)', 'Utah (4 - 2)', 'Stanford (1 - 4)'],,,,
Florida,4,2,1,16,13,33, ['Utah (4 - 2)', 'Kentucky (4 - 2)', 'South Florida (1 - 5)', 'Tennessee (5 - 0)', 'Missouri (2 - 4)'],,,,
South Carolina,4,2,1,16,14,52, ['Georgia State (2 - 4)', 'Arkansas (3 - 3)', 'Georgia (6 - 0)', 'Charlotte (1 - 5)', 'Kentucky (4 - 2)'],,,,
Pittsburgh,4,2,1,14,14,53, ['West Virginia (2 - 3)', 'Tennessee (5 - 0)', 'Western Michigan (2 - 4)', 'Georgia Tech (3 - 3)', 'Virginia Tech (2 - 4)'],,,,
UNLV,4,2,1,14,14,44, ['California (3 - 2)', 'North Texas (3 - 3)', 'Utah State (2 - 4)', 'New Mexico (2 - 4)', 'San José State (4 - 1)'],,,,
UT San Antonio,4,2,1,14,15,26, ['Houston (3 - 3)', 'Army (1 - 4)', 'Texas (4 - 2)', 'Middle Tennessee (3 - 3)', 'Western Kentucky (3 - 3)'],,,,
Washington,4,2,1,13,16,85, ['Kent State (2 - 4)', 'Michigan State (2 - 4)', 'Stanford (1 - 4)', 'UCLA (6 - 0)', 'Arizona State (2 - 4)'],,,,
Duke,4,2,1,13,16,77, ['Temple (2 - 3)', 'Northwestern (1 - 5)', 'Kansas (5 - 1)', 'Virginia (2 - 4)', 'Georgia Tech (3 - 3)'],,,,
Boise State,4,2,1,13,17,48, ['Oregon State (4 - 2)', 'New Mexico (2 - 4)', 'UTEP (3 - 4)', 'San Diego State (3 - 3)', 'Fresno State (1 - 4)'],,,,
Toledo,4,2,1,12,18,64, ['UMass (1 - 5)', 'Ohio State (6 - 0)', 'San Diego State (3 - 3)', 'Central Michigan (1 - 5)', 'Northern Illinois (1 - 5)'],,,,
Air Force,4,2,1,10,19,83, ['Colorado (0 - 5)', 'Wyoming (4 - 3)', 'Nevada (2 - 4)', 'Navy (2 - 3)', 'Utah State (2 - 4)'],,,,
Eastern Michigan,4,2,1,10,19,-1, ['Louisiana (2 - 3)', 'Arizona State (2 - 4)', 'Buffalo (3 - 3)', 'UMass (1 - 5)', 'Western Michigan (2 - 4)'],,,,
Wyoming,4,3,1,21,14,-21, ['Illinois (5 - 1)', 'Tulsa (2 - 4)', 'Air Force (4 - 2)', 'BYU (4 - 2)', 'San José State (4 - 1)', 'New Mexico (2 - 4)'],,,
Notre Dame,3,2,0,21,7,12, ['Ohio State (6 - 0)', 'Marshall (3 - 2)', 'California (3 - 2)', 'North Carolina (5 - 1)', 'BYU (4 - 2)'],,,,
Baylor,3,2,1,15,8,84, ['BYU (4 - 2)', 'Texas State (3 - 3)', 'Iowa State (3 - 3)', 'Oklahoma State (5 - 0)'],,,,,
Rice,3,2,1,14,8,-1, ['USC (6 - 0)', 'Louisiana (2 - 3)', 'Houston (3 - 3)', 'UAB (3 - 2)'],,,,,
UAB,3,2,1,14,9,89, ['Liberty (5 - 1)', 'Georgia Southern (3 - 3)', 'Rice (3 - 2)', 'Middle Tennessee (3 - 3)'],,,,,
California,3,2,1,14,9,19, ['UNLV (4 - 2)', 'Notre Dame (3 - 2)', 'Arizona (3 - 3)', 'Washington State (4 - 2)'],,,,,
Marshall,3,2,2,9,8,66, ['Notre Dame (3 - 2)', 'Bowling Green (2 - 4)', 'Troy (4 - 2)'],,,,,,
Houston,3,3,0,24,11,-14, ['UT San Antonio (4 - 2)', 'Texas Tech (3 - 3)', 'Kansas (5 - 1)', 'Rice (3 - 2)', 'Tulane (5 - 1)', 'Memphis (4 - 2)'],,,
Oklahoma,3,3,0,22,14,10, ['UTEP (3 - 4)', 'Kent State (2 - 4)', 'Nebraska (3 - 3)', 'Kansas State (5 - 1)', 'TCU (5 - 0)', 'Texas (4 - 2)'],,,
Louisville,3,3,0,18,16,32, ['Syracuse (5 - 0)', 'UCF (4 - 1)', 'Florida State (4 - 2)', 'South Florida (1 - 5)', 'Boston College (2 - 4)', 'Virginia (2 - 4)'],,,
Georgia Tech,3,3,1,24,5,-64, ['Clemson (6 - 0)', 'Ole Miss (6 - 0)', 'UCF (4 - 1)', 'Pittsburgh (4 - 2)', 'Duke (4 - 2)'],,,,
Arkansas,3,3,1,23,7,-16, ['Cincinnati (5 - 1)', 'South Carolina (4 - 2)', 'Texas A&M (3 - 3)', 'Alabama (6 - 0)', 'Mississippi State (5 - 1)'],,,,
