name, wins, losses, fcs_count, opponent_total_wins, opponent_total_losses, point_diff, opponents
Illinois, 3, 1, 1, 8, 5, 81, ['Wyoming (3 - 2)', 'Indiana (3 - 1)', 'Virginia (2 - 2)']
Iowa, 3, 1, 1, 8, 5, 45, ['Iowa State (3 - 1)', 'Nevada (2 - 3)', 'Rutgers (3 - 1)']
Oregon State, 3, 1, 1, 7, 4, 57, ['Boise State (2 - 2)', 'Fresno State (1 - 2)', 'USC (4 - 0)']
Duke, 3, 1, 1, 7, 5, 59, ['Temple (2 - 2)', 'Northwestern (1 - 3)', 'Kansas (4 - 0)']
Pittsburgh, 3, 1, 1, 7, 5, 42, ['West Virginia (2 - 2)', 'Tennessee (4 - 0)', 'Western Michigan (1 - 3)']
California, 3, 1, 1, 7, 5, 38, ['UNLV (3 - 1)', 'Notre Dame (2 - 2)', 'Arizona (2 - 2)']
Texas A&M, 3, 1, 1, 7, 5, 38, ['Appalachian State (2 - 2)', 'Miami (2 - 2)', 'Arkansas (3 - 1)']
Tulane, 3, 1, 1, 6, 6, 88, ['UMass (1 - 3)', 'Kansas State (3 - 1)', 'Southern Mississippi (2 - 2)']
South Alabama, 3, 1, 1, 6, 6, 78, ['Central Michigan (1 - 3)', 'UCLA (4 - 0)', 'Louisiana Tech (1 - 3)']
Rutgers, 3, 1, 1, 6, 6, 45, ['Boston College (1 - 3)', 'Temple (2 - 2)', 'Iowa (3 - 1)']
UNLV, 3, 1, 1, 6, 7, 66, ['California (3 - 1)', 'North Texas (2 - 3)', 'Utah State (1 - 3)']
Middle Tennessee, 3, 1, 1, 5, 6, 35, ['James Madison (3 - 0)', 'Colorado State (0 - 4)', 'Miami (2 - 2)']
Western Kentucky, 3, 1, 1, 5, 7, 113, ["Hawai'i (1 - 4)", 'Indiana (3 - 1)', 'Florida International (1 - 2)']
Utah, 3, 1, 1, 5, 7, 112, ['Florida (2 - 2)', 'San Diego State (2 - 2)', 'Arizona State (1 - 3)']
Washington State, 3, 1, 1, 5, 7, 38, ['Wisconsin (2 - 2)', 'Colorado State (0 - 4)', 'Oregon (3 - 1)']
Air Force, 3, 1, 1, 5, 9, 87, ['Colorado (0 - 4)', 'Wyoming (3 - 2)', 'Nevada (2 - 3)']
Georgia Southern, 3, 1, 1, 4, 7, 52, ['Nebraska (1 - 3)', 'UAB (2 - 1)', 'Ball State (1 - 3)']
UCF, 3, 1, 1, 4, 8, 83, ['Louisville (2 - 2)', 'Florida Atlantic (1 - 3)', 'Georgia Tech (1 - 3)']
North Carolina, 3, 1, 1, 4, 8, 28, ['Appalachian State (2 - 2)', 'Georgia State (0 - 4)', 'Notre Dame (2 - 2)']
Wyoming, 3, 2, 1, 11, 5, -17, ['Illinois (3 - 1)', 'Tulsa (2 - 2)', 'Air Force (3 - 1)', 'BYU (3 - 1)']
Vanderbilt, 3, 2, 1, 9, 8, 2, ["Hawai'i (1 - 4)", 'Wake Forest (3 - 1)', 'Northern Illinois (1 - 3)', 'Alabama (4 - 0)']
UAB, 2, 1, 1, 6, 2, 66, ['Liberty (3 - 1)', 'Georgia Southern (3 - 1)']
San José State, 2, 1, 1, 4, 4, 24, ['Auburn (3 - 1)', 'Western Michigan (1 - 3)']
Louisville, 2, 2, 0, 12, 4, 16, ['Syracuse (4 - 0)', 'UCF (3 - 1)', 'Florida State (4 - 0)', 'South Florida (1 - 3)']
Notre Dame, 2, 2, 0, 12, 4, 4, ['Ohio State (4 - 0)', 'Marshall (2 - 2)', 'California (3 - 1)', 'North Carolina (3 - 1)']
Florida, 2, 2, 0, 12, 4, -9, ['Utah (3 - 1)', 'Kentucky (4 - 0)', 'South Florida (1 - 3)', 'Tennessee (4 - 0)']
Appalachian State, 2, 2, 0, 11, 4, 1, ['North Carolina (3 - 1)', 'Texas A&M (3 - 1)', 'Troy (2 - 2)', 'James Madison (3 - 0)']
Texas, 2, 2, 0, 11, 5, 59, ['Louisiana Monroe (2 - 2)', 'Alabama (4 - 0)', 'UT San Antonio (2 - 2)', 'Texas Tech (3 - 1)']
Houston, 2, 2, 0, 11, 5, -12, ['UT San Antonio (2 - 2)', 'Texas Tech (3 - 1)', 'Kansas (4 - 0)', 'Rice (2 - 2)']
Michigan State, 2, 2, 0, 10, 6, 36, ['Western Michigan (1 - 3)', 'Akron (1 - 3)', 'Washington (4 - 0)', 'Minnesota (4 - 0)']
South Carolina, 2, 2, 0, 8, 9, 2, ['Georgia State (0 - 4)', 'Arkansas (3 - 1)', 'Georgia (4 - 0)', 'Charlotte (1 - 4)']
Old Dominion, 2, 2, 0, 7, 9, -21, ['Virginia Tech (2 - 2)', 'East Carolina (2 - 2)', 'Virginia (2 - 2)', 'Arkansas State (1 - 3)']
West Virginia, 2, 2, 1, 9, 3, 61, ['Pittsburgh (3 - 1)', 'Kansas (4 - 0)', 'Virginia Tech (2 - 2)']
Purdue, 2, 2, 1, 9, 3, 51, ['Penn State (4 - 0)', 'Syracuse (4 - 0)', 'Florida Atlantic (1 - 3)']
Virginia, 2, 2, 1, 9, 3, -4, ['Illinois (3 - 1)', 'Old Dominion (2 - 2)', 'Syracuse (4 - 0)']
Miami, 2, 2, 1, 8, 4, 58, ['Southern Mississippi (2 - 2)', 'Texas A&M (3 - 1)', 'Middle Tennessee (3 - 1)']
SMU, 2, 2, 1, 8, 4, 52, ['North Texas (2 - 3)', 'Maryland (3 - 1)', 'TCU (3 - 0)']
Southern Mississippi, 2, 2, 1, 8, 4, 32, ['Liberty (3 - 1)', 'Miami (2 - 2)', 'Tulane (3 - 1)']
Troy, 2, 2, 1, 8, 4, 8, ['Ole Miss (4 - 0)', 'Appalachian State (2 - 2)', 'Marshall (2 - 2)']
Rice, 2, 2, 1, 8, 4, -5, ['USC (4 - 0)', 'Louisiana (2 - 2)', 'Houston (2 - 2)']
Arizona, 2, 2, 1, 8, 4, -19, ['San Diego State (2 - 2)', 'Mississippi State (3 - 1)', 'California (3 - 1)']
Miami (OH), 2, 2, 1, 8, 4, -25, ['Kentucky (4 - 0)', 'Cincinnati (3 - 1)', 'Northwestern (1 - 3)']
Ohio, 2, 2, 1, 8, 4, -59, ['Florida Atlantic (1 - 3)', 'Penn State (4 - 0)', 'Iowa State (3 - 1)']
Louisiana Monroe, 2, 2, 1, 8, 4, -66, ['Texas (2 - 2)', 'Alabama (4 - 0)', 'Louisiana (2 - 2)']
Wisconsin, 2, 2, 1, 8, 5, 63, ['Washington State (3 - 1)', 'New Mexico State (1 - 4)', 'Ohio State (4 - 0)']
Tulsa, 2, 2, 1, 8, 5, 29, ['Wyoming (3 - 2)', 'Northern Illinois (1 - 3)', 'Ole Miss (4 - 0)']
East Carolina, 2, 2, 1, 7, 4, 60, ['NC State (4 - 0)', 'Old Dominion (2 - 2)', 'Navy (1 - 2)']
Toledo, 2, 2, 1, 7, 5, 23, ['UMass (1 - 3)', 'Ohio State (4 - 0)', 'San Diego State (2 - 2)']
Missouri, 2, 2, 1, 7, 5, 14, ['Louisiana Tech (1 - 3)', 'Kansas State (3 - 1)', 'Auburn (3 - 1)']
Temple, 2, 2, 1, 7, 5, 12, ['Duke (3 - 1)', 'Rutgers (3 - 1)', 'UMass (1 - 3)']
San Diego State, 2, 2, 1, 7, 5, -12, ['Arizona (2 - 2)', 'Utah (3 - 1)', 'Toledo (2 - 2)']
Boise State, 2, 2, 1, 7, 6, 6, ['Oregon State (3 - 1)', 'New Mexico (2 - 2)', 'UTEP (2 - 3)']
New Mexico, 2, 2, 1, 7, 6, 3, ['Boise State (2 - 2)', 'UTEP (2 - 3)', 'LSU (3 - 1)']
Louisiana, 2, 2, 1, 6, 6, 29, ['Eastern Michigan (2 - 2)', 'Rice (2 - 2)', 'Louisiana Monroe (2 - 2)']
Texas State, 2, 2, 1, 6, 6, 4, ['Nevada (2 - 3)', 'Florida International (1 - 2)', 'Baylor (3 - 1)']
UT San Antonio, 2, 2, 1, 5, 6, 8, ['Houston (2 - 2)', 'Army (1 - 2)', 'Texas (2 - 2)']
Marshall, 2, 2, 1, 5, 7, 45, ['Notre Dame (2 - 2)', 'Bowling Green (1 - 3)', 'Troy (2 - 2)']
Virginia Tech, 2, 2, 1, 5, 7, 11, ['Old Dominion (2 - 2)', 'Boston College (1 - 3)', 'West Virginia (2 - 2)']
Eastern Michigan, 2, 2, 1, 4, 8, -30, ['Louisiana (2 - 2)', 'Arizona State (1 - 3)', 'Buffalo (1 - 3)']
UTEP, 2, 3, 0, 10, 12, -43, ['North Texas (2 - 3)', 'Oklahoma (3 - 1)', 'New Mexico State (1 - 4)', 'New Mexico (2 - 2)', 'Boise State (2 - 2)']
