name, wins, losses, fcs_count, opponent_total_wins, opponent_total_losses, point_diff, opponents
Troy, 6, 2, 1, 36, 22, 39, ['Ole Miss (8 - 1)', 'Appalachian State (5 - 3)', 'Marshall (4 - 4)', 'Western Kentucky (5 - 4)', 'Southern Mississippi (5 - 3)', 'Texas State (3 - 5)', 'South Alabama (6 - 2)']
Utah, 6, 2, 1, 35, 21, 133, ['Florida (4 - 4)', 'San Diego State (4 - 4)', 'Arizona State (3 - 5)', 'Oregon State (6 - 2)', 'UCLA (7 - 1)', 'USC (7 - 1)', 'Washington State (4 - 4)']
LSU, 6, 2, 1, 35, 22, 112, ['Florida State (5 - 3)', 'Mississippi State (5 - 3)', 'New Mexico (2 - 6)', 'Auburn (3 - 5)', 'Tennessee (8 - 0)', 'Florida (4 - 4)', 'Ole Miss (8 - 1)']
NC State, 6, 2, 1, 35, 23, 75, ['East Carolina (6 - 3)', 'Texas Tech (4 - 4)', 'Connecticut (4 - 5)', 'Clemson (8 - 0)', 'Florida State (5 - 3)', 'Syracuse (6 - 2)', 'Virginia Tech (2 - 6)']
Wake Forest, 6, 2, 1, 33, 22, 95, ['Vanderbilt (3 - 5)', 'Liberty (7 - 1)', 'Clemson (8 - 0)', 'Florida State (5 - 3)', 'Army (3 - 4)', 'Boston College (2 - 6)', 'Louisville (5 - 3)']
Oklahoma State, 6, 2, 1, 33, 23, 64, ['Central Michigan (2 - 6)', 'Arizona State (3 - 5)', 'Baylor (5 - 3)', 'Texas Tech (4 - 4)', 'TCU (8 - 0)', 'Texas (5 - 3)', 'Kansas State (6 - 2)']
Oregon State, 6, 2, 1, 31, 25, 79, ['Boise State (6 - 2)', 'Fresno State (4 - 4)', 'USC (7 - 1)', 'Utah (6 - 2)', 'Stanford (3 - 5)', 'Washington State (4 - 4)', 'Colorado (1 - 7)']
UT San Antonio, 6, 2, 1, 31, 26, 50, ['Houston (5 - 3)', 'Army (3 - 4)', 'Texas (5 - 3)', 'Middle Tennessee (4 - 4)', 'Western Kentucky (5 - 4)', 'Florida International (4 - 4)', 'North Texas (5 - 4)']
UCF, 6, 2, 1, 29, 28, 145, ['Louisville (5 - 3)', 'Florida Atlantic (3 - 5)', 'Georgia Tech (3 - 5)', 'SMU (4 - 4)', 'Temple (2 - 6)', 'East Carolina (6 - 3)', 'Cincinnati (6 - 2)']
Boise State, 6, 2, 1, 27, 30, 92, ['Oregon State (6 - 2)', 'New Mexico (2 - 6)', 'UTEP (4 - 5)', 'San Diego State (4 - 4)', 'Fresno State (4 - 4)', 'Air Force (5 - 3)', 'Colorado State (2 - 6)']
